country,variable,value,>=65,Total,proportion_over_65,deaths_per_million
Hungary,Hungary.JHU_ConfirmedDeaths.data,323.0,1872776.0,9775564.0,0.19157728392960244,33.041571821329185
Guinea,Guinea.JHU_ConfirmedDeaths.data,7.0,363246.0,12414318.0,0.02926024611259354,0.5638650467951603
Guatemala,Guatemala.JHU_ConfirmedDeaths.data,16.0,829977.0,17247807.0,0.04812072630450932,0.9276541649613774
Guyana,Guyana.JHU_ConfirmedDeaths.data,9.0,50248.0,779004.0,0.0645028780340024,11.553214104163779
Honduras,Honduras.JHU_ConfirmedDeaths.data,75.0,449714.0,9587522.0,0.04690617659078122,7.822667838467542
Heavilyindebtedpoorcountries(HIPC),Heavilyindebtedpoorcountries(HIPC).JHU_ConfirmedDeaths.data,0.0,23628692.0,780234406.0,0.030284093880371638,0.0
Grenada,Grenada.JHU_ConfirmedDeaths.data,0.0,10724.0,111454.0,0.0962190679562869,0.0
Highincome,Highincome.JHU_ConfirmedDeaths.data,0.0,216888374.0,1210312147.0,0.17920036127671782,0.0
IDAtotal,IDAtotal.JHU_ConfirmedDeaths.data,0.0,58280645.0,1640238121.0,0.035531819589992325,0.0
Iran,Iran.JHU_ConfirmedDeaths.data,6091.0,5058998.0,81800269.0,0.06184573794005494,74.46185782102991
IBRDonly,IBRDonly.JHU_ConfirmedDeaths.data,0.0,404863045.0,4772284113.0,0.08483632478986902,0.0
IDAonly,IDAonly.JHU_ConfirmedDeaths.data,0.0,38835414.0,1084407516.0,0.03581256439760788,0.0
IDAblend,IDAblend.JHU_ConfirmedDeaths.data,0.0,19445231.0,555830605.0,0.034984095559113734,0.0
Iraq,Iraq.JHU_ConfirmedDeaths.data,94.0,1277379.0,38433600.0,0.03323599662795054,2.445776612131052
IDA&IBRDtotal,IDA&IBRDtotal.JHU_ConfirmedDeaths.data,0.0,463143690.0,6412522234.0,0.07222488641744645,0.0
Iceland,Iceland.JHU_ConfirmedDeaths.data,10.0,52185.0,352721.0,0.14794979601441366,28.351019644421513
India,India.JHU_ConfirmedDeaths.data,1223.0,83591151.0,1352617328.0,0.06179955651137422,0.9041729502374082
Indonesia,Indonesia.JHU_ConfirmedDeaths.data,800.0,15677491.0,267663435.0,0.05857165735020923,2.9888281154278693
Ireland,Ireland.JHU_ConfirmedDeaths.data,1265.0,674891.0,4867309.0,0.1386579319291214,259.89720397862556
Japan,Japan.JHU_ConfirmedDeaths.data,455.0,34892133.0,126529100.0,0.2757637017887585,3.596010720063606
Italy,Italy.JHU_ConfirmedDeaths.data,28236.0,13746965.0,60421760.0,0.2275167919636899,467.31508648539864
KoreaNorth,KoreaNorth.JHU_ConfirmedDeaths.data,0.0,2384953.0,25549819.0,0.09334520138870651,0.0
Israel,Israel.JHU_ConfirmedDeaths.data,225.0,1063892.0,8882800.0,0.11976989237627775,25.32985094789931
Jamaica,Jamaica.JHU_ConfirmedDeaths.data,8.0,258169.0,2934855.0,0.0879665264553104,2.7258586880782865
Jordan,Jordan.JHU_ConfirmedDeaths.data,8.0,382957.0,9956011.0,0.03846490326296345,0.8035346686539419
Kazakhstan,Kazakhstan.JHU_ConfirmedDeaths.data,25.0,1350670.0,18272430.0,0.07391846623574423,1.368181462454638
